Date,Hospitalizations
2020-02-20,99.87474933020272
2020-02-21,96.2228929050278
2020-02-22,88.75317924472415
2020-02-23,78.50881345281533
2020-02-24,66.68250177454429
2020-02-25,54.49437044936125
2020-02-26,43.07921491538586
2020-02-27,33.39235135933095
2020-02-28,26.14076744790927
2020-02-29,21.743338627586432
2020-03-01,20.32088942586458
2020-03-02,21.714110723803273
2020-03-03,25.52502268463893
2020-03-04,31.175965140925584
2020-03-05,37.97909756233318
2020-03-06,45.20912097580773
2020-03-07,52.172348149942685
2020-03-08,58.26624252440132
2020-03-09,63.02497494796436
2020-03-10,66.14823936994222
2020-03-11,67.51234604354029
2020-03-12,67.16430490818546
2020-03-13,65.30107780630443
2020-03-14,62.23730583155363
2020-03-15,58.36553836250478
2020-03-16,54.11327760712105
2020-03-17,49.90102271428015
2020-03-18,46.10500273465336
2020-03-19,43.027507875009
2020-03-20,40.87676152129619
2020-03-21,39.75722675671746
2020-03-22,39.67021311419312
2020-03-23,40.52373283205356
2020-03-24,42.14982284313551
2020-03-25,44.327047530318424
2020-03-26,46.805650734092985
2020-03-27,49.33283122415441
2020-03-28,51.67584893693592
2020-03-29,53.64108671642404
2020-03-30,55.08773858351462
2020-03-31,55.93540894531403
2020-04-01,56.16552580253486
2020-04-02,55.81703858754714
2020-04-03,54.977341490460226
2020-04-04,53.7697029877895
2020-04-05,52.33867371630866
2020-04-06,50.834984912225465
2020-04-07,49.401349381228044
2020-04-08,48.160358994216786
2020-04-09,47.20536806803848
2020-04-10,46.59489655943542
2020-04-11,46.350717758099314
2020-04-12,46.459446765639385
2020-04-13,46.87714791416842
2020-04-14,47.536253452984376
2020-04-15,48.35394570025932
2020-04-16,49.24110477752603
2020-04-17,50.11095982940821
2020-04-18,50.886691747813714
2020-04-19,51.50740274465986
